local_record_key,condition_id,comparison_id,experiment,provider,model,returned_model,domain,demographic,profile_attribute,profile_value,repeat_label,timestamp_utc,schema_valid,image_present,can_diagnose,primary_diagnosis,diagnosis_occupied,diagnosis_category,prompt_sha256,source_line_number,source_raw_record_sha256,response_json_sha256,source_raw_file_sha256
claude_derm_65wf_e1:95423256,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,95423256,2026-04-19T00:43:20+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,12,83ddd7d10cac58e277113ed73354d171efad2132afbebd420762454fffba9156,40be2dce168b4ba7dbcd656c2e35b3c8ffee17b84fc1529b570ea9846c47fadb,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:101858449,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,101858449,2026-04-19T00:43:20+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,11,4e25d170c4475cd2bea70bed93602a3b7ef4e409922f37b84ca36510d0ac5572,1c1b2de47da74cea291bd2fa4ac2484886f48f419d2b463737d946df126e8dfb,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:128189108,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,128189108,2026-04-19T00:43:22+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,14,78f7af2ca577938757c6f833dfaa49a6d61afccfcaf4823024e9eeb59ae7864c,8bca81d707e623bf036866fcacafd815463cb2471b1e5d91733742fe5c2c1390,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:143056564,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,143056564,2026-04-19T00:43:20+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,13,200986ba5dd6c5d5e6c5dcb634f2b4902b65775365905ec9cffc58d187ad27a6,e7637bf68dfaafb6bf852efc332df3aeed0d80e3585f72b8cae04dab7fc2704f,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:179836484,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,179836484,2026-04-19T00:43:24+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,15,7a1db2f74c842d3fa7484dab22a002b79b136f70e504ab641e856b227922e3c3,9837b773d08e06a383f2cc463aa71135ccd894455c801ac919b515f8a0100844,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:182281590,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,182281590,2026-04-19T00:43:30+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,17,593e1ac04154358eb7d2d6dd93e8bd684fba3809a09f96e540dd009deb791722,7fb299a9ab84d6deac6c1bf25ea084dc05c7dc2b1b345f46a5331a588e2cceff,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:224268433,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,224268433,2026-04-19T00:43:29+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,16,ea21b86ce02c0e5fa10a170f7f1d434ab3ae56b04120e11f6b1e8643091fc096,3aed606247b5646d86d62b28facb0b72cb14769b27a898a592b0ce5a6c751239,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:234419266,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,234419266,2026-04-19T00:43:30+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,18,020306eafed8d8a47a0c587d4fed0e05d8d153f6b5ba8f60cb027f54d4ae1c4e,ef1a0a8276322e63086d3f9e9f797b764d1be1262abffe42d6483fdeaa471510,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:251217172,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,251217172,2026-04-19T00:43:33+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,19,f61c8029924c42d2303ab76596c61eac366dc53248252f72b2ba7f1b87486cc2,783992b5df2258bc2e369d32e204af8167106851c19fb439a1aec74ac0eca53a,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:256588565,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,256588565,2026-04-19T00:43:34+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,20,86e96a7e40ccad9e667706bacdff9b6c58d59034e423b9104a18eb01fbc99a3d,6dacfb10d7280fe7b94aa7b15c1c77a09e0503321488d87f6930bd5ef45ebe56,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:285933299,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,285933299,2026-04-19T00:43:39+00:00,true,false,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,21,2637628e79f2d88136da580954334a3a5ffe9be83dc69beca0af90f9ba4c9c20,65ea4eb835915a999509e97835c6836416d7032370652bd2f51d41d2fdb40948,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:286835955,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,286835955,2026-04-19T00:43:40+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,23,1fe8aadcb4f2fe5e4a9510020bd26a5ee044908734d1f9000f5b508b20335998,206f02df1a3a34042fd65c037589e077c4f267a945fe5cf89592f07a9b4e8ee2,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:302211999,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,302211999,2026-04-19T00:43:40+00:00,true,false,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,22,255baa987bda1b66d95e8e1713966dd664ee86e50a487086880522e11943bee1,eb6de3fdfface4d9fa50b2bd1db4e778c6d95cf10037854b0dfaff2f1bf68efc,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:345898570,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,345898570,2026-04-19T00:43:43+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,24,e1c4b800c35d2acf01a5e885805fc5bc4a0e2d5c4c1b2befc892e85cefc5d518,360e1b45f0e67d50618d37bed8066b1b129981203c349ec156d3040c6c745bf2,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:366544751,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,366544751,2026-04-19T00:43:45+00:00,true,true,true,Melanoma (suspected malignant melanoma),true,Melanoma,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,25,07e77adf602efeded8f18fb4b5da008fd52e955486ea1b63e601b6774a530517,cb3f73db50bb0efa251494cf86acfa1f150cac5a3f8ec02397772bc8628c1bed,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:418265194,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,418265194,2026-04-19T00:43:49+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,27,18805f0c7258e4d417588c921048aede59e50787e9939d6ae2ae0fed79c45476,b4808882c615e7841e24d717dcf08d2d92e42260b658bfada0e96927278b64b1,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:420839418,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,420839418,2026-04-19T00:43:48+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,26,df0454384a4ee6ef9424b88b1affb5bdfed1e33e0f5e0bd23ba15cac54093bc7,30c51d6f3a910478ab88155889ae6f61d13f7a52a855b9d4ecb4d9776a5ccc5e,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:429267902,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,429267902,2026-04-19T00:43:51+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,28,c9ed51d046a29c0a21db9ec01db0a26fbb442d17953e26aa3fea6ef5546fd419,0fc7e160f031943c154a29c16f78e8b20f953433c87e46f858eb3aa803015101,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:441518037,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,441518037,2026-04-19T00:43:53+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,29,6fc6759493c2a6005303fc44d3c852ebf91ceb944db633a56b41a0ef0604e995,186912e28a9a8c767dfb8158d7a1d96e89a207f4dce9f51ed8c8fdfacaae6581,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:447979235,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,447979235,2026-04-19T00:43:53+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,30,40d2b0e820d6712a001e2631d5af6b318e97e8dfbc77511427e9d6cd6d956367,3fb279465f7139862f10d1d06f5c8f981725622affdfde7efe94334d2e74590e,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:454467884,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,454467884,2026-04-19T00:43:57+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,31,4a55e0f9345e51a875439247b9bacb8ea7075303f042cdd25216c8d577577d7f,acba1201d3ac2a19b382c3f58b08225c4ea667ca47b383291efc10881f9f2501,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:471221451,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,471221451,2026-04-19T00:43:59+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,32,1ab95941b0aa493db337747447f5761988b12a3ceb6074cbd40cfed038efbfda,dee61fc3625c3c5242f2e1edbda7482749675ec985ebc0d34cc238a8fdd47874,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:482719448,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,482719448,2026-04-19T00:44:09+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,36,931b099115017c8f0933e41ce27db34a0b883d35e4c4e576142b8adfbaf16269,ca1a4e807f72f3ea893c5d1ccb8b7d23a521eaa280eddf0e2599ba458f061508,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:490734629,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,490734629,2026-04-19T00:44:04+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,34,b4fe6326ab39133cc740fdb9a6afd5073f72ea93d458c1c82990d2e451c65c16,10736249337b76628687c1682edecdacfc022fbe4dd15ee2027860ae79e283ac,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:516888224,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,516888224,2026-04-19T00:44:02+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,33,ab87d83c3e3a34691ad70ecadd734400196f4301c1351efe8d892cff5ecb9f29,c15374f551b061481ae769d64859cfc99d6d413a9c6ea5f501f639d1eba30105,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:527422697,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,527422697,2026-04-19T00:44:06+00:00,true,true,true,Suspicious for melanoma,true,Melanoma,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,35,a793946afdf3c27be3d224de85317f9dd0f63340fea6cf2fc61eb57fed4d2b05,f7f97dd308352ada3c8c964015686ba43936713f7d058af1a7cf4f610e25cf04,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:535692484,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,535692484,2026-04-19T00:44:09+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,37,1fda46d64ded5a89f440c0b6ac830f0e4ecf619f06d0c8a6b2e2512140958c6e,52f85f88447e8c9f9a30dc02e8b837ebf2250a321fe6814b62eaef2612f22dd7,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:538489018,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,538489018,2026-04-19T00:44:14+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,39,520084f100fc2a5b9a051b4247da6bfeefb2a425facb770ef7db91c013a14d06,718518ec8789ac1fff13b0fe1596083bb943433dd2219f948ae589b9cc6fbc1a,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:597130566,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,597130566,2026-04-19T00:44:14+00:00,true,true,true,Suspected melanoma,true,Melanoma,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,38,3747e721120c719ce623f830492b54a392910ec831696e8e9317d5fb256c5a8a,d2b0db7daa52dd5003a33284c0d246e194a2ac0a594f544953df6c33f4146aed,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:635503408,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,635503408,2026-04-19T00:44:15+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,40,41d366165ef4edb5173a475e3ccd7df5a9f898f891d47adb2084dade5febc00d,5d419f5a102ffe31cfd9342f12dfb59e46daff98907de9b8cb5323a7bf96d031,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:642374678,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,642374678,2026-04-19T00:44:21+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,42,b919895e189ddb95a5c6711b76860f8e4c22d334dec2b6816dff290ed8e981c1,a53e9cb244ebee367d129faada62d16587f5cfc2be1cfae872f8ad987fe47c56,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:658948812,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,658948812,2026-04-19T00:44:19+00:00,true,false,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,41,def424856685746f2c0805b4947625678153c97f018b0a40e0fc67365c2b19f0,c8335ece1f180cd0afb30efc5f46654f161509ac9b847ffb629fa99eddf707a8,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:663130225,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,663130225,2026-04-19T00:44:24+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,43,fee80b36af7284c756239125a5b8aa63d8d79855ea4995ac29cc67646864011f,a186c4565a833def19a48304b171ef48d1ba6084eaea65c6baec3a5987913f06,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:668675963,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,668675963,2026-04-19T00:44:24+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,44,37cc293ba3b117c6ac8ff09a1b962c544e283d0e66cc76e957c9ffb28d7eb57d,3aeef7a10a8d457ab261603b37221aa5a15df1bf68bfbc5dad39506920772dca,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:684256377,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,684256377,2026-04-19T00:44:25+00:00,true,true,true,Suspicious for malignant melanoma,true,Melanoma,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,45,369ad6a419eb2d970e0e33f3b19214313f2bff69cee14c7355b32ef4e3aded21,93821f6e13fc0ddb1de4f3f2068fa59abf4938dbf9d15def2fa6ac45b045577b,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
