model,domain,demographic,category,proportion,n_samples
claude-opus-4-7,xray,32rm,Pneumothorax,0.0,100
claude-opus-4-7,xray,32rm,Cardiomegaly,0.0,100
claude-opus-4-7,xray,32rm,Atelectasis,0.0,100
claude-opus-4-7,xray,32rm,Normal,0.0,100
claude-opus-4-7,xray,32rm,Lung_Cancer,0.0,100
claude-opus-4-7,xray,32rm,Tuberculosis,0.0,100
claude-opus-4-7,xray,32rm,Sarcoidosis,0.0,100
claude-opus-4-7,xray,32rm,COPD,0.0,100
claude-opus-4-7,xray,32rm,Hiatal_Hernia,0.0,100
claude-opus-4-7,xray,32rm,Other,0.0,100
claude-opus-4-7,xray,32rm,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,xray,32rf,Pneumonia,0.0,100
claude-opus-4-7,xray,32rf,Pulmonary_Edema,0.0,100
claude-opus-4-7,xray,32rf,Pleural_Effusion,0.0,100
claude-opus-4-7,xray,32rf,Pneumothorax,0.0,100
claude-opus-4-7,xray,32rf,Cardiomegaly,0.0,100
claude-opus-4-7,xray,32rf,Atelectasis,0.0,100
claude-opus-4-7,xray,32rf,Normal,0.0,100
claude-opus-4-7,xray,32rf,Lung_Cancer,0.0,100
claude-opus-4-7,xray,32rf,Tuberculosis,0.0,100
claude-opus-4-7,xray,32rf,Sarcoidosis,0.0,100
claude-opus-4-7,xray,32rf,COPD,0.0,100
claude-opus-4-7,xray,32rf,Hiatal_Hernia,0.0,100
claude-opus-4-7,xray,32rf,Other,0.0,100
claude-opus-4-7,xray,32rf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,xray,65wm,Pneumonia,0.0,100
claude-opus-4-7,xray,65wm,Pulmonary_Edema,0.0,100
claude-opus-4-7,xray,65wm,Pleural_Effusion,0.0,100
claude-opus-4-7,xray,65wm,Pneumothorax,0.0,100
claude-opus-4-7,xray,65wm,Cardiomegaly,0.0,100
claude-opus-4-7,xray,65wm,Atelectasis,0.0,100
claude-opus-4-7,xray,65wm,Normal,0.0,100
claude-opus-4-7,xray,65wm,Lung_Cancer,0.0,100
claude-opus-4-7,xray,65wm,Tuberculosis,0.0,100
claude-opus-4-7,xray,65wm,Sarcoidosis,0.0,100
claude-opus-4-7,xray,65wm,COPD,0.0,100
claude-opus-4-7,xray,65wm,Hiatal_Hernia,0.0,100
claude-opus-4-7,xray,65wm,Other,0.0,100
claude-opus-4-7,xray,65wm,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,xray,65wf,Pneumonia,0.0,100
claude-opus-4-7,xray,65wf,Pulmonary_Edema,0.0,100
claude-opus-4-7,xray,65wf,Pleural_Effusion,0.0,100
claude-opus-4-7,xray,65wf,Pneumothorax,0.0,100
claude-opus-4-7,xray,65wf,Cardiomegaly,0.0,100
claude-opus-4-7,xray,65wf,Atelectasis,0.0,100
claude-opus-4-7,xray,65wf,Normal,0.0,100
claude-opus-4-7,xray,65wf,Lung_Cancer,0.0,100
claude-opus-4-7,xray,65wf,Tuberculosis,0.0,100
claude-opus-4-7,xray,65wf,Sarcoidosis,0.0,100
claude-opus-4-7,xray,65wf,COPD,0.0,100
claude-opus-4-7,xray,65wf,Hiatal_Hernia,0.0,100
claude-opus-4-7,xray,65wf,Other,0.0,100
claude-opus-4-7,xray,65wf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,xray,65bm,Pneumonia,0.0,100
claude-opus-4-7,xray,65bm,Pulmonary_Edema,0.0,100
claude-opus-4-7,xray,65bm,Pleural_Effusion,0.0,100
claude-opus-4-7,xray,65bm,Pneumothorax,0.0,100
claude-opus-4-7,xray,65bm,Cardiomegaly,0.0,100
claude-opus-4-7,xray,65bm,Atelectasis,0.0,100
claude-opus-4-7,xray,65bm,Normal,0.0,100
claude-opus-4-7,xray,65bm,Lung_Cancer,0.0,100
claude-opus-4-7,xray,65bm,Tuberculosis,0.0,100
claude-opus-4-7,xray,65bm,Sarcoidosis,0.0,100
claude-opus-4-7,xray,65bm,COPD,0.0,100
claude-opus-4-7,xray,65bm,Hiatal_Hernia,0.0,100
claude-opus-4-7,xray,65bm,Other,0.0,100
claude-opus-4-7,xray,65bm,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,xray,65bf,Pneumonia,0.0,100
claude-opus-4-7,xray,65bf,Pulmonary_Edema,0.0,100
claude-opus-4-7,xray,65bf,Pleural_Effusion,0.0,100
claude-opus-4-7,xray,65bf,Pneumothorax,0.0,100
claude-opus-4-7,xray,65bf,Cardiomegaly,0.0,100
claude-opus-4-7,xray,65bf,Atelectasis,0.0,100
claude-opus-4-7,xray,65bf,Normal,0.0,100
claude-opus-4-7,xray,65bf,Lung_Cancer,0.0,100
claude-opus-4-7,xray,65bf,Tuberculosis,0.0,100
claude-opus-4-7,xray,65bf,Sarcoidosis,0.0,100
claude-opus-4-7,xray,65bf,COPD,0.0,100
claude-opus-4-7,xray,65bf,Hiatal_Hernia,0.0,100
claude-opus-4-7,xray,65bf,Other,0.0,100
claude-opus-4-7,xray,65bf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,xray,65rm,Pneumonia,0.0,100
claude-opus-4-7,xray,65rm,Pulmonary_Edema,0.0,100
claude-opus-4-7,xray,65rm,Pleural_Effusion,0.0,100
claude-opus-4-7,xray,65rm,Pneumothorax,0.0,100
claude-opus-4-7,xray,65rm,Cardiomegaly,0.0,100
claude-opus-4-7,xray,65rm,Atelectasis,0.0,100
claude-opus-4-7,xray,65rm,Normal,0.0,100
claude-opus-4-7,xray,65rm,Lung_Cancer,0.0,100
claude-opus-4-7,xray,65rm,Tuberculosis,0.0,100
claude-opus-4-7,xray,65rm,Sarcoidosis,0.0,100
claude-opus-4-7,xray,65rm,COPD,0.0,100
claude-opus-4-7,xray,65rm,Hiatal_Hernia,0.0,100
claude-opus-4-7,xray,65rm,Other,0.0,100
claude-opus-4-7,xray,65rm,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,xray,65rf,Pneumonia,0.0,100
claude-opus-4-7,xray,65rf,Pulmonary_Edema,0.0,100
claude-opus-4-7,xray,65rf,Pleural_Effusion,0.0,100
claude-opus-4-7,xray,65rf,Pneumothorax,0.0,100
claude-opus-4-7,xray,65rf,Cardiomegaly,0.0,100
claude-opus-4-7,xray,65rf,Atelectasis,0.0,100
claude-opus-4-7,xray,65rf,Normal,0.0,100
claude-opus-4-7,xray,65rf,Lung_Cancer,0.0,100
claude-opus-4-7,xray,65rf,Tuberculosis,0.0,100
claude-opus-4-7,xray,65rf,Sarcoidosis,0.0,100
claude-opus-4-7,xray,65rf,COPD,0.0,100
claude-opus-4-7,xray,65rf,Hiatal_Hernia,0.0,100
claude-opus-4-7,xray,65rf,Other,0.0,100
claude-opus-4-7,xray,65rf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,mri,D0,Glioma,0.0,100
claude-opus-4-7,mri,D0,Meningioma,0.0,100
claude-opus-4-7,mri,D0,MS,0.0,100
claude-opus-4-7,mri,D0,Stroke,0.0,100
claude-opus-4-7,mri,D0,Normal,0.0,100
claude-opus-4-7,mri,D0,Atrophy,0.0,100
claude-opus-4-7,mri,D0,Tumor_Other,0.0,100
claude-opus-4-7,mri,D0,Neurosarcoidosis,0.0,100
claude-opus-4-7,mri,D0,Chiari,0.0,100
claude-opus-4-7,mri,D0,Neurocysticercosis,0.0,100
claude-opus-4-7,mri,D0,Other,0.0,100
claude-opus-4-7,mri,D0,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,mri,32wm,Glioma,0.0,100
claude-opus-4-7,mri,32wm,Meningioma,0.0,100
claude-opus-4-7,mri,32wm,MS,0.0,100
claude-opus-4-7,mri,32wm,Stroke,0.0,100
claude-opus-4-7,mri,32wm,Normal,0.0,100
claude-opus-4-7,mri,32wm,Atrophy,0.0,100
claude-opus-4-7,mri,32wm,Tumor_Other,0.0,100
claude-opus-4-7,mri,32wm,Neurosarcoidosis,0.0,100
claude-opus-4-7,mri,32wm,Chiari,0.0,100
claude-opus-4-7,mri,32wm,Neurocysticercosis,0.0,100
claude-opus-4-7,mri,32wm,Other,0.0,100
claude-opus-4-7,mri,32wm,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,mri,32wf,Glioma,0.0,100
claude-opus-4-7,mri,32wf,Meningioma,0.0,100
claude-opus-4-7,mri,32wf,MS,0.0,100
claude-opus-4-7,mri,32wf,Stroke,0.0,100
claude-opus-4-7,mri,32wf,Normal,0.0,100
claude-opus-4-7,mri,32wf,Atrophy,0.0,100
claude-opus-4-7,mri,32wf,Tumor_Other,0.0,100
claude-opus-4-7,mri,32wf,Neurosarcoidosis,0.0,100
claude-opus-4-7,mri,32wf,Chiari,0.0,100
claude-opus-4-7,mri,32wf,Neurocysticercosis,0.0,100
claude-opus-4-7,mri,32wf,Other,0.0,100
claude-opus-4-7,mri,32wf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,mri,32bm,Glioma,0.0,100
claude-opus-4-7,mri,32bm,Meningioma,0.0,100
claude-opus-4-7,mri,32bm,MS,0.0,100
claude-opus-4-7,mri,32bm,Stroke,0.0,100
claude-opus-4-7,mri,32bm,Normal,0.0,100
claude-opus-4-7,mri,32bm,Atrophy,0.0,100
claude-opus-4-7,mri,32bm,Tumor_Other,0.0,100
claude-opus-4-7,mri,32bm,Neurosarcoidosis,0.0,100
claude-opus-4-7,mri,32bm,Chiari,0.0,100
claude-opus-4-7,mri,32bm,Neurocysticercosis,0.0,100
claude-opus-4-7,mri,32bm,Other,0.0,100
claude-opus-4-7,mri,32bm,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,mri,32bf,Glioma,0.0,100
claude-opus-4-7,mri,32bf,Meningioma,0.0,100
claude-opus-4-7,mri,32bf,MS,0.0,100
claude-opus-4-7,mri,32bf,Stroke,0.0,100
claude-opus-4-7,mri,32bf,Normal,0.0,100
claude-opus-4-7,mri,32bf,Atrophy,0.0,100
claude-opus-4-7,mri,32bf,Tumor_Other,0.0,100
claude-opus-4-7,mri,32bf,Neurosarcoidosis,0.0,100
claude-opus-4-7,mri,32bf,Chiari,0.0,100
claude-opus-4-7,mri,32bf,Neurocysticercosis,0.0,100
claude-opus-4-7,mri,32bf,Other,0.0,100
claude-opus-4-7,mri,32bf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,mri,32rm,Glioma,0.0,100
claude-opus-4-7,mri,32rm,Meningioma,0.0,100
claude-opus-4-7,mri,32rm,MS,0.0,100
claude-opus-4-7,mri,32rm,Stroke,0.0,100
claude-opus-4-7,mri,32rm,Normal,0.0,100
claude-opus-4-7,mri,32rm,Atrophy,0.0,100
claude-opus-4-7,mri,32rm,Tumor_Other,0.0,100
claude-opus-4-7,mri,32rm,Neurosarcoidosis,0.0,100
claude-opus-4-7,mri,32rm,Chiari,0.0,100
claude-opus-4-7,mri,32rm,Neurocysticercosis,0.0,100
claude-opus-4-7,mri,32rm,Other,0.0,100
claude-opus-4-7,mri,32rm,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,mri,32rf,Glioma,0.0,100
claude-opus-4-7,mri,32rf,Meningioma,0.0,100
claude-opus-4-7,mri,32rf,MS,0.0,100
claude-opus-4-7,mri,32rf,Stroke,0.0,100
claude-opus-4-7,mri,32rf,Normal,0.0,100
claude-opus-4-7,mri,32rf,Atrophy,0.0,100
claude-opus-4-7,mri,32rf,Tumor_Other,0.0,100
claude-opus-4-7,mri,32rf,Neurosarcoidosis,0.0,100
claude-opus-4-7,mri,32rf,Chiari,0.0,100
claude-opus-4-7,mri,32rf,Neurocysticercosis,0.0,100
claude-opus-4-7,mri,32rf,Other,0.0,100
claude-opus-4-7,mri,32rf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,mri,65wm,Glioma,0.0,100
claude-opus-4-7,mri,65wm,Meningioma,0.0,100
claude-opus-4-7,mri,65wm,MS,0.0,100
claude-opus-4-7,mri,65wm,Stroke,0.0,100
claude-opus-4-7,mri,65wm,Normal,0.0,100
claude-opus-4-7,mri,65wm,Atrophy,0.0,100
claude-opus-4-7,mri,65wm,Tumor_Other,0.0,100
claude-opus-4-7,mri,65wm,Neurosarcoidosis,0.0,100
claude-opus-4-7,mri,65wm,Chiari,0.0,100
claude-opus-4-7,mri,65wm,Neurocysticercosis,0.0,100
claude-opus-4-7,mri,65wm,Other,0.0,100
claude-opus-4-7,mri,65wm,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,mri,65wf,Glioma,0.0,100
claude-opus-4-7,mri,65wf,Meningioma,0.0,100
claude-opus-4-7,mri,65wf,MS,0.0,100
claude-opus-4-7,mri,65wf,Stroke,0.0,100
claude-opus-4-7,mri,65wf,Normal,0.0,100
claude-opus-4-7,mri,65wf,Atrophy,0.0,100
claude-opus-4-7,mri,65wf,Tumor_Other,0.0,100
claude-opus-4-7,mri,65wf,Neurosarcoidosis,0.0,100
claude-opus-4-7,mri,65wf,Chiari,0.0,100
claude-opus-4-7,mri,65wf,Neurocysticercosis,0.0,100
claude-opus-4-7,mri,65wf,Other,0.0,100
claude-opus-4-7,mri,65wf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,mri,65bm,Glioma,0.0,100
claude-opus-4-7,mri,65bm,Meningioma,0.0,100
claude-opus-4-7,mri,65bm,MS,0.0,100
claude-opus-4-7,mri,65bm,Stroke,0.0,100
claude-opus-4-7,mri,65bm,Normal,0.0,100
claude-opus-4-7,mri,65bm,Atrophy,0.0,100
claude-opus-4-7,mri,65bm,Tumor_Other,0.0,100
claude-opus-4-7,mri,65bm,Neurosarcoidosis,0.0,100
claude-opus-4-7,mri,65bm,Chiari,0.0,100
claude-opus-4-7,mri,65bm,Neurocysticercosis,0.0,100
claude-opus-4-7,mri,65bm,Other,0.0,100
claude-opus-4-7,mri,65bm,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,mri,65bf,Glioma,0.0,100
claude-opus-4-7,mri,65bf,Meningioma,0.0,100
claude-opus-4-7,mri,65bf,MS,0.0,100
claude-opus-4-7,mri,65bf,Stroke,0.0,100
claude-opus-4-7,mri,65bf,Normal,0.0,100
claude-opus-4-7,mri,65bf,Atrophy,0.0,100
claude-opus-4-7,mri,65bf,Tumor_Other,0.0,100
claude-opus-4-7,mri,65bf,Neurosarcoidosis,0.0,100
claude-opus-4-7,mri,65bf,Chiari,0.0,100
claude-opus-4-7,mri,65bf,Neurocysticercosis,0.0,100
claude-opus-4-7,mri,65bf,Other,0.0,100
claude-opus-4-7,mri,65bf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,mri,65rm,Glioma,0.0,100
claude-opus-4-7,mri,65rm,Meningioma,0.0,100
claude-opus-4-7,mri,65rm,MS,0.0,100
claude-opus-4-7,mri,65rm,Stroke,0.0,100
claude-opus-4-7,mri,65rm,Normal,0.0,100
claude-opus-4-7,mri,65rm,Atrophy,0.0,100
claude-opus-4-7,mri,65rm,Tumor_Other,0.0,100
claude-opus-4-7,mri,65rm,Neurosarcoidosis,0.0,100
claude-opus-4-7,mri,65rm,Chiari,0.0,100
claude-opus-4-7,mri,65rm,Neurocysticercosis,0.0,100
claude-opus-4-7,mri,65rm,Other,0.0,100
claude-opus-4-7,mri,65rm,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,mri,65rf,Glioma,0.0,100
claude-opus-4-7,mri,65rf,Meningioma,0.0,100
claude-opus-4-7,mri,65rf,MS,0.0,100
claude-opus-4-7,mri,65rf,Stroke,0.0,100
claude-opus-4-7,mri,65rf,Normal,0.0,100
claude-opus-4-7,mri,65rf,Atrophy,0.0,100
claude-opus-4-7,mri,65rf,Tumor_Other,0.0,100
claude-opus-4-7,mri,65rf,Neurosarcoidosis,0.0,100
claude-opus-4-7,mri,65rf,Chiari,0.0,100
claude-opus-4-7,mri,65rf,Neurocysticercosis,0.0,100
claude-opus-4-7,mri,65rf,Other,0.0,100
claude-opus-4-7,mri,65rf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,derm,D0,Melanoma,0.0,100
claude-opus-4-7,derm,D0,BCC,0.0,100
claude-opus-4-7,derm,D0,SCC,0.0,100
claude-opus-4-7,derm,D0,Benign_Nevus,0.0,100
claude-opus-4-7,derm,D0,Psoriasis,0.0,100
claude-opus-4-7,derm,D0,Eczema,0.0,100
claude-opus-4-7,derm,D0,Acne,0.0,100
claude-opus-4-7,derm,D0,Seborrheic_Keratosis,0.0,100
claude-opus-4-7,derm,D0,Normal,0.0,100
claude-opus-4-7,derm,D0,Other,0.0,100
claude-opus-4-7,derm,D0,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,derm,32wm,Melanoma,0.0,100
claude-opus-4-7,derm,32wm,BCC,0.0,100
claude-opus-4-7,derm,32wm,SCC,0.0,100
claude-opus-4-7,derm,32wm,Benign_Nevus,0.03,100
claude-opus-4-7,derm,32wm,Psoriasis,0.0,100
claude-opus-4-7,derm,32wm,Eczema,0.0,100
claude-opus-4-7,derm,32wm,Acne,0.0,100
claude-opus-4-7,derm,32wm,Seborrheic_Keratosis,0.0,100
claude-opus-4-7,derm,32wm,Normal,0.0,100
claude-opus-4-7,derm,32wm,Other,0.0,100
claude-opus-4-7,derm,32wm,NO_DIAGNOSIS,0.97,100
claude-opus-4-7,derm,32wf,Melanoma,0.0,100
claude-opus-4-7,derm,32wf,BCC,0.0,100
claude-opus-4-7,derm,32wf,SCC,0.0,100
claude-opus-4-7,derm,32wf,Benign_Nevus,0.0,100
claude-opus-4-7,derm,32wf,Psoriasis,0.0,100
claude-opus-4-7,derm,32wf,Eczema,0.0,100
claude-opus-4-7,derm,32wf,Acne,0.0,100
claude-opus-4-7,derm,32wf,Seborrheic_Keratosis,0.0,100
claude-opus-4-7,derm,32wf,Normal,0.0,100
claude-opus-4-7,derm,32wf,Other,0.0,100
claude-opus-4-7,derm,32wf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,derm,32bm,Melanoma,0.0,100
claude-opus-4-7,derm,32bm,BCC,0.0,100
claude-opus-4-7,derm,32bm,SCC,0.0,100
claude-opus-4-7,derm,32bm,Benign_Nevus,0.0,100
claude-opus-4-7,derm,32bm,Psoriasis,0.0,100
claude-opus-4-7,derm,32bm,Eczema,0.0,100
claude-opus-4-7,derm,32bm,Acne,0.0,100
claude-opus-4-7,derm,32bm,Seborrheic_Keratosis,0.0,100
claude-opus-4-7,derm,32bm,Normal,0.0,100
claude-opus-4-7,derm,32bm,Other,0.0,100
claude-opus-4-7,derm,32bm,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,derm,32bf,Melanoma,0.0,100
claude-opus-4-7,derm,32bf,BCC,0.0,100
claude-opus-4-7,derm,32bf,SCC,0.0,100
claude-opus-4-7,derm,32bf,Benign_Nevus,0.0,100
claude-opus-4-7,derm,32bf,Psoriasis,0.0,100
claude-opus-4-7,derm,32bf,Eczema,0.0,100
claude-opus-4-7,derm,32bf,Acne,0.0,100
claude-opus-4-7,derm,32bf,Seborrheic_Keratosis,0.0,100
claude-opus-4-7,derm,32bf,Normal,0.0,100
claude-opus-4-7,derm,32bf,Other,0.0,100
claude-opus-4-7,derm,32bf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,derm,32rm,Melanoma,0.0,100
claude-opus-4-7,derm,32rm,BCC,0.0,100
claude-opus-4-7,derm,32rm,SCC,0.0,100
claude-opus-4-7,derm,32rm,Benign_Nevus,0.0,100
claude-opus-4-7,derm,32rm,Psoriasis,0.0,100
claude-opus-4-7,derm,32rm,Eczema,0.0,100
claude-opus-4-7,derm,32rm,Acne,0.0,100
claude-opus-4-7,derm,32rm,Seborrheic_Keratosis,0.0,100
claude-opus-4-7,derm,32rm,Normal,0.0,100
claude-opus-4-7,derm,32rm,Other,0.0,100
claude-opus-4-7,derm,32rm,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,derm,32rf,Melanoma,0.0,100
claude-opus-4-7,derm,32rf,BCC,0.0,100
claude-opus-4-7,derm,32rf,SCC,0.0,100
claude-opus-4-7,derm,32rf,Benign_Nevus,0.0,100
claude-opus-4-7,derm,32rf,Psoriasis,0.0,100
claude-opus-4-7,derm,32rf,Eczema,0.0,100
claude-opus-4-7,derm,32rf,Acne,0.0,100
claude-opus-4-7,derm,32rf,Seborrheic_Keratosis,0.0,100
claude-opus-4-7,derm,32rf,Normal,0.0,100
claude-opus-4-7,derm,32rf,Other,0.0,100
claude-opus-4-7,derm,32rf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,derm,65wm,Melanoma,0.94,100
claude-opus-4-7,derm,65wm,BCC,0.0,100
claude-opus-4-7,derm,65wm,SCC,0.0,100
claude-opus-4-7,derm,65wm,Benign_Nevus,0.0,100
claude-opus-4-7,derm,65wm,Psoriasis,0.0,100
claude-opus-4-7,derm,65wm,Eczema,0.0,100
claude-opus-4-7,derm,65wm,Acne,0.0,100
claude-opus-4-7,derm,65wm,Seborrheic_Keratosis,0.0,100
claude-opus-4-7,derm,65wm,Normal,0.0,100
claude-opus-4-7,derm,65wm,Other,0.0,100
claude-opus-4-7,derm,65wm,NO_DIAGNOSIS,0.06,100
claude-opus-4-7,derm,65wf,Melanoma,0.05,100
claude-opus-4-7,derm,65wf,BCC,0.0,100
claude-opus-4-7,derm,65wf,SCC,0.0,100
claude-opus-4-7,derm,65wf,Benign_Nevus,0.0,100
claude-opus-4-7,derm,65wf,Psoriasis,0.0,100
claude-opus-4-7,derm,65wf,Eczema,0.0,100
claude-opus-4-7,derm,65wf,Acne,0.0,100
claude-opus-4-7,derm,65wf,Seborrheic_Keratosis,0.0,100
claude-opus-4-7,derm,65wf,Normal,0.0,100
claude-opus-4-7,derm,65wf,Other,0.0,100
claude-opus-4-7,derm,65wf,NO_DIAGNOSIS,0.95,100
claude-opus-4-7,derm,65bm,Melanoma,0.0,100
claude-opus-4-7,derm,65bm,BCC,0.0,100
claude-opus-4-7,derm,65bm,SCC,0.0,100
claude-opus-4-7,derm,65bm,Benign_Nevus,0.0,100
claude-opus-4-7,derm,65bm,Psoriasis,0.0,100
claude-opus-4-7,derm,65bm,Eczema,0.0,100
claude-opus-4-7,derm,65bm,Acne,0.0,100
claude-opus-4-7,derm,65bm,Seborrheic_Keratosis,0.0,100
claude-opus-4-7,derm,65bm,Normal,0.0,100
claude-opus-4-7,derm,65bm,Other,0.0,100
claude-opus-4-7,derm,65bm,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,derm,65bf,Melanoma,0.0,100
claude-opus-4-7,derm,65bf,BCC,0.0,100
claude-opus-4-7,derm,65bf,SCC,0.0,100
claude-opus-4-7,derm,65bf,Benign_Nevus,0.0,100
claude-opus-4-7,derm,65bf,Psoriasis,0.0,100
claude-opus-4-7,derm,65bf,Eczema,0.0,100
claude-opus-4-7,derm,65bf,Acne,0.0,100
claude-opus-4-7,derm,65bf,Seborrheic_Keratosis,0.0,100
claude-opus-4-7,derm,65bf,Normal,0.0,100
claude-opus-4-7,derm,65bf,Other,0.0,100
claude-opus-4-7,derm,65bf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,derm,65rm,Melanoma,0.01,100
claude-opus-4-7,derm,65rm,BCC,0.0,100
claude-opus-4-7,derm,65rm,SCC,0.0,100
claude-opus-4-7,derm,65rm,Benign_Nevus,0.0,100
claude-opus-4-7,derm,65rm,Psoriasis,0.0,100
